"Municipio";"Populacao_residente"
"210317 CENTRO NOVO DO MARANHAO";16529
"210320 CHAPADINHA";84202
"210325 CIDELANDIA";13152
"210330 CODO";118295
"210340 COELHO NETO";42918
"210350 COLINAS";41745
"210355 CONCEICAO DO LAGO-ACU";15264
"210360 COROATA";61351
"210370 CURURUPU";32608
"210375 DAVINOPOLIS";14788
"210380 DOM PEDRO";23579
"210390 DUQUE BACELAR";10448
"210400 ESPERANTINOPOLIS";18725
"210405 ESTREITO";34353
"210407 FEIRA NOVA DO MARANHAO";8236
"210408 FERNANDO FALCAO";11184
"210409 FORMOSA DA SERRA NEGRA";18133
"210410 FORTALEZA DOS NOGUEIRAS";12951
"210420 FORTUNA";17346
"210430 GODOFREDO VIANA";10422
"210440 GONCALVES DIAS";17579
"210450 GOVERNADOR ARCHER";10472
"210455 GOVERNADOR EDISON LOBAO";18908
"210460 GOVERNADOR EUGENIO BARROS";14258
"210462 GOVERNADOR LUIZ ROCHA";7219
"210465 GOVERNADOR NEWTON BELLO";10981
"210467 GOVERNADOR NUNES FREIRE";23563
"210470 GRACA ARANHA";6161
"210480 GRAJAU";76578
"210490 GUIMARAES";10470
"210500 HUMBERTO DE CAMPOS";26546
"210510 ICATU";25332
"210515 IGARAPE DO MEIO";14350
"210520 IGARAPE GRANDE";10463
"210530 IMPERATRIZ";285146
"210535 ITAIPAVA DO GRAJAU";14143
"210540 ITAPECURU MIRIM";62269
"210542 ITINGA DO MARANHAO";22934
"210545 JATOBA";7610
"210547 JENIPAPO DOS VIEIRAS";17499
"210550 JOAO LISBOA";25287
"210560 JOSELANDIA";15235
"210565 JUNCO DO MARANHAO";5275
"210570 LAGO DA PEDRA";45875
"210580 LAGO DO JUNCO";9700
"210590 LAGO VERDE";15077
"210592 LAGOA DO MATO";10809
"210594 LAGO DOS RODRIGUES";8961
"210596 LAGOA GRANDE DO MARANHAO";11710
"210598 LAJEADO NOVO";7227
"210600 LIMA CAMPOS";11558
"210610 LORETO";11876
"210620 LUIS DOMINGUES";7351
"210630 MAGALHAES DE ALMEIDA";14001
"210632 MARACACUME";21686
"210635 MARAJA DO SENA";7165
"210637 MARANHAOZINHO";14086
"210640 MATA ROMA";17537
"210650 MATINHA";22530
"210660 MATOES";33300
"210663 MATOES DO NORTE";17945
"210667 MILAGRES DO MARANHAO";9048
"210670 MIRADOR";21518
"210675 MIRANDA DO NORTE";24377
"210680 MIRINZAL";14297
"210690 MONCAO";28606
"210700 MONTES ALTOS";9309
